      data,    praca,                     fonte,                     obs,             categoria,   preco
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,   92.47
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   88.82
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   87.45
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,   92.47
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   88.82
2023-08-02, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   87.45
2023-08-08, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,   92.71
2023-08-08, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   89.60
2023-08-08, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   89.51
2023-08-15, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,   97.43
2023-08-15, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   92.81
2023-08-15, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   92.33
2023-09-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  104.98
2023-09-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   99.82
2023-09-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.15
2023-09-12, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  104.98
2023-09-12, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   99.82
2023-09-12, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.15
2023-09-19, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  104.98
2023-09-19, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   99.82
2023-09-19, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.15
2023-10-11, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  105.35
2023-10-11, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  100.22
2023-10-11, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.76
2023-10-17, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  105.35
