      data,    praca,         fonte,  nome cientifico, nome comum,   unidade,   preco
2022-12-21, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  171.00
2022-12-21, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   86.00
2022-12-21, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   92.00
2022-12-27, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  171.00
2022-12-27, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   86.00
2022-12-27, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   92.00
2023-01-18, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  170.00
2023-01-18, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   88.00
2023-01-18, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   92.00
2023-02-08, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  165.00
2023-02-08, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   83.00
2023-02-08, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   87.00
2023-02-24, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  163.00
2023-02-24, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   83.00
2023-02-24, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   82.00
2023-03-01, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  162.00
2023-03-01, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   83.00
2023-03-01, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   80.00
2023-03-16, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  162.00
2023-03-16, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   83.00
2023-03-16, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   82.00
2023-03-22, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  154.00
2023-03-22, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   78.00
2023-03-22, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   82.00
2023-03-29, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  148.00
2023-03-29, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   75.00
2023-03-29, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   84.00
2023-04-19, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  137.00
2023-04-19, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   70.00
2023-04-19, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   85.00
2023-04-26, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  128.00
2023-04-26, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   65.00
2023-04-26, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   82.00
2023-05-03, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  127.00
2023-05-03, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   65.00
2023-05-03, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   82.00
2023-05-10, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  127.00
2023-05-10, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   62.00
2023-05-10, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   84.00
2023-05-24, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  125.00
2023-05-24, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-05-24, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-05-31, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  124.00
2023-05-31, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-05-31, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-06-07, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  124.00
2023-06-07, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-06-07, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-06-21, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  128.00
2023-06-21, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-06-21, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-06-28, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  128.00
2023-06-28, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-06-28, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   76.00
2023-07-12, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  138.00
2023-07-12, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-07-12, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-07-19, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  140.00
2023-07-19, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-07-19, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   80.00
2023-07-25, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  145.00
2023-07-25, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-07-25, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   78.00
2023-08-03, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  137.00
2023-08-03, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-08-03, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   84.00
2023-08-10, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  135.00
2023-08-10, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-08-10, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   86.00
2023-08-16, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  140.00
2023-08-16, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-08-16, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   86.00
2023-09-14, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  140.00
2023-09-14, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   52.00
2023-09-14, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   95.00
2023-09-21, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  134.00
2023-09-21, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   52.00
2023-09-21, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   95.00
2023-10-20, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  136.00
2023-10-20, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   52.00
2023-10-20, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,   95.00
2023-11-15, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  140.00
2023-11-15, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   52.00
2023-11-15, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  100.00
2023-11-24, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  140.00
2023-11-24, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   52.00
2023-11-24, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  105.00
2023-11-29, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  138.00
2023-11-29, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-11-29, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  105.00
2023-12-08, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  138.00
2023-12-08, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-12-08, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  105.00
2023-12-12, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  138.00
2023-12-12, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   57.00
2023-12-12, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  125.00
2023-12-20, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  133.00
2023-12-20, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2023-12-20, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  125.00
2023-12-27, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  132.00
2023-12-27, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2023-12-27, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  130.00
2024-01-03, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  128.00
2024-01-03, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2024-01-03, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  130.00
2024-01-11, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  122.00
2024-01-11, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2024-01-11, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  130.00
2024-01-18, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  117.00
2024-01-18, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   56.00
2024-01-18, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,  125.00
2024-01-30, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  112.00
2024-01-30, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2024-01-30, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
2024-02-15, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  110.00
2024-02-15, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   50.00
2024-02-15, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
