      data,   fonte,      praca, unidade,         categoria,  preco
2020-02-14,     SRA,   Alegrete, kg vivo,            Ovelha,   5.50
2020-02-14,     SRA,   Alegrete, kg vivo,             Capão,   5.90
2020-02-14,     SRA,   Alegrete, kg vivo,           Borrego,   7.00
2020-03-05,     SRA,   Alegrete, kg vivo,            Ovelha,   5.50
2020-03-05,     SRA,   Alegrete, kg vivo,             Capão,   5.90
2020-03-05,     SRA,   Alegrete, kg vivo,           Borrego,   7.00
2020-03-12,     SRA,   Alegrete, kg vivo,            Ovelha,   5.50
2020-03-12,     SRA,   Alegrete, kg vivo,             Capão,   5.90
2020-03-12,     SRA,   Alegrete, kg vivo,           Borrego,   7.00
2020-03-26,     SRA,   Alegrete, kg vivo,            Ovelha,   5.50
2020-03-26,     SRA,   Alegrete, kg vivo,             Capão,   5.80
2020-03-26,     SRA,   Alegrete, kg vivo,           Borrego,   7.00
2020-04-16,     SRA,   Alegrete, kg vivo,            Ovelha,   5.60
2020-04-16,     SRA,   Alegrete, kg vivo,             Capão,   6.00
2020-04-16,     SRA,   Alegrete, kg vivo,           Borrego,   6.80
2020-04-24,     SRA,   Alegrete, kg vivo,            Ovelha,   5.45
2020-04-24,     SRA,   Alegrete, kg vivo,             Capão,   5.85
2020-04-24,     SRA,   Alegrete, kg vivo,           Borrego,   6.90
2020-05-29,     SRA,   Alegrete, kg vivo,            Ovelha,   5.20
2020-05-29,     SRA,   Alegrete, kg vivo,             Capão,   5.74
2020-05-29,     SRA,   Alegrete, kg vivo,           Borrego,   6.77
2020-06-05,     SRA,   Alegrete, kg vivo,            Ovelha,   5.27
2020-06-05,     SRA,   Alegrete, kg vivo,             Capão,   5.80
2020-06-05,     SRA,   Alegrete, kg vivo,           Borrego,   6.80
2020-06-18,     SRA,   Alegrete, kg vivo,            Ovelha,   5.40
2020-06-18,     SRA,   Alegrete, kg vivo,             Capão,   5.80
2020-06-18,     SRA,   Alegrete, kg vivo,           Borrego,   6.90
2020-07-09,     SRA,   Alegrete, kg vivo,            Ovelha,   5.75
2020-07-09,     SRA,   Alegrete, kg vivo,             Capão,   6.10
2020-07-09,     SRA,   Alegrete, kg vivo,           Borrego,   7.00
2020-07-30,     SRA,   Alegrete, kg vivo,            Ovelha,   6.17
2020-07-30,     SRA,   Alegrete, kg vivo,             Capão,   6.50
2020-07-30,     SRA,   Alegrete, kg vivo,           Borrego,   7.27
2020-08-20,     SRA,   Alegrete, kg vivo,            Ovelha,   6.27
2020-08-20,     SRA,   Alegrete, kg vivo,             Capão,   6.60
2020-08-20,     SRA,   Alegrete, kg vivo,           Borrego,   7.50
2020-09-03,     SRA,   Alegrete, kg vivo,            Ovelha,   6.34
2020-09-03,     SRA,   Alegrete, kg vivo,             Capão,   6.60
2020-09-03,     SRA,   Alegrete, kg vivo,           Borrego,   7.57
2021-01-07,     SRA,   Alegrete, kg vivo,            Ovelha,   6.17
2021-01-07,     SRA,   Alegrete, kg vivo,             Capão,   7.00
2021-01-07,     SRA,   Alegrete, kg vivo,           Borrego,   7.87
2021-01-07,     SRA,   Alegrete, kg vivo,          Cordeiro,   7.94
2021-02-25,     SRA,   Alegrete, kg vivo,            Ovelha,   6.20
2021-02-25,     SRA,   Alegrete, kg vivo,             Capão,   6.67
2021-02-25,     SRA,   Alegrete, kg vivo,           Borrego,   7.54
2021-02-25,     SRA,   Alegrete, kg vivo,          Cordeiro,   7.64
2021-04-01,     SRA,   Alegrete, kg vivo,            Ovelha,   6.44
2021-04-01,     SRA,   Alegrete, kg vivo,             Capão,   6.97
2021-04-01,     SRA,   Alegrete, kg vivo,           Borrego,   7.57
2021-04-01,     SRA,   Alegrete, kg vivo,          Cordeiro,   7.80
2021-10-28,     SRA,   Alegrete, kg vivo,            Ovelha,   8.00
2021-10-28,     SRA,   Alegrete, kg vivo,             Capão,   8.90
2021-10-28,     SRA,   Alegrete, kg vivo,           Borrego,  10.00
2021-10-28,     SRA,   Alegrete, kg vivo,          Cordeiro,  10.17
2021-11-18,     SRA,   Alegrete, kg vivo,            Ovelha,   8.17
2021-11-18,     SRA,   Alegrete, kg vivo,             Capão,   9.00
2021-11-18,     SRA,   Alegrete, kg vivo,           Borrego,   9.77
2021-11-18,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.94
2022-01-27,     SRA,   Alegrete, kg vivo,            Ovelha,   7.25
2022-01-27,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-01-27,     SRA,   Alegrete, kg vivo,           Borrego,     NA
2022-01-27,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.90
2022-02-03,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-02-03,     SRA,   Alegrete, kg vivo,             Capão,   7.84
2022-02-03,     SRA,   Alegrete, kg vivo,           Borrego,   8.75
2022-02-03,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.84
2022-02-10,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-02-10,     SRA,   Alegrete, kg vivo,             Capão,   7.84
2022-02-10,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-02-10,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.84
2022-02-17,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-02-17,     SRA,   Alegrete, kg vivo,             Capão,   7.84
2022-02-17,     SRA,   Alegrete, kg vivo,           Borrego,   8.75
2022-02-17,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-02-24,     SRA,   Alegrete, kg vivo,            Ovelha,   7.07
2022-02-24,     SRA,   Alegrete, kg vivo,             Capão,   7.90
2022-02-24,     SRA,   Alegrete, kg vivo,           Borrego,   8.75
2022-02-24,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.84
2022-03-03,     SRA,   Alegrete, kg vivo,            Ovelha,   7.10
2022-03-03,     SRA,   Alegrete, kg vivo,             Capão,   7.90
2022-03-03,     SRA,   Alegrete, kg vivo,           Borrego,   8.60
2022-03-03,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.84
2022-03-10,     SRA,   Alegrete, kg vivo,            Ovelha,   7.07
2022-03-10,     SRA,   Alegrete, kg vivo,             Capão,   7.90
2022-03-10,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-03-10,     SRA,   Alegrete, kg vivo,          Cordeiro,   8.84
2022-03-17,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-03-17,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-03-17,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-03-17,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-03-24,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-03-24,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-03-24,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-03-24,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-03-31,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-03-31,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-03-31,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-03-31,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-04-07,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-04-07,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-04-07,     SRA,   Alegrete, kg vivo,           Borrego,     NA
2022-04-07,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-04-14,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-04-14,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-04-14,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-04-14,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-04-20,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-04-20,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-04-20,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-04-20,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-04-28,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-04-28,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-04-28,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-04-28,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-05-05,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-05-05,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-05-05,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-05-05,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-05-12,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-05-12,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-05-12,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-05-12,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-05-19,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-05-19,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-05-19,     SRA,   Alegrete, kg vivo,           Borrego,   8.00
2022-05-19,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-05-26,     SRA,   Alegrete, kg vivo,            Ovelha,   7.00
2022-05-26,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-05-26,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-05-26,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-06-02,     SRA,   Alegrete, kg vivo,            Ovelha,   7.07
2022-06-02,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-06-02,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-06-02,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-06-23,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-06-23,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-06-23,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-06-23,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-06-30,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-06-30,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-06-30,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-06-30,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-07-07,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-07-07,     SRA,   Alegrete, kg vivo,             Capão,   8.00
2022-07-07,     SRA,   Alegrete, kg vivo,           Borrego,   8.50
2022-07-07,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.00
2022-07-14,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-07-14,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-07-14,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-07-14,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-07-21,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-07-21,     SRA,   Alegrete, kg vivo,             Capão,   8.16
2022-07-21,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-07-21,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-07-28,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-07-28,     SRA,   Alegrete, kg vivo,             Capão,   8.16
2022-07-28,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-07-28,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-08-04,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-08-04,     SRA,   Alegrete, kg vivo,             Capão,   8.16
2022-08-04,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-08-04,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-08-11,     SRA,   Alegrete, kg vivo,            Ovelha,   7.13
2022-08-11,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-08-11,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-08-11,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-08-18,     SRA,   Alegrete, kg vivo,            Ovelha,   7.13
2022-08-18,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-08-18,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-08-18,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.10
2022-08-25,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-08-25,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-08-25,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-08-25,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.15
2022-09-01,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-09-01,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-09-01,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-09-01,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.15
2022-09-08,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-09-08,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-09-08,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-09-08,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.15
2022-09-15,     SRA,   Alegrete, kg vivo,            Ovelha,   7.14
2022-09-15,     SRA,   Alegrete, kg vivo,             Capão,   8.17
2022-09-15,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-09-15,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.15
2022-09-22,     SRA,   Alegrete, kg vivo,            Ovelha,   7.47
2022-09-22,     SRA,   Alegrete, kg vivo,             Capão,   8.27
2022-09-22,     SRA,   Alegrete, kg vivo,           Borrego,   9.00
2022-09-22,     SRA,   Alegrete, kg vivo,          Cordeiro,   9.65
